fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,retorno_log_diario,media_movil_7d,media_movil_30d,volatilidad_7d,volatilidad_30d,prediccion
2014-09-17,359.55,361.47,351.59,355.96,355.96,16389166,,,,,,313.30619999999954
2014-09-18,355.59,355.51,319.79,328.54,328.54,26691849,-0.08015976887560759,,,,,318.4001000000002
2014-09-19,328.28,330.94,298.92,307.76,307.76,29560103,-0.06533833766901422,,,,,309.8500999999997
2014-09-20,307.67,329.98,303.93,318.76,318.76,28736826,0.03511821008550762,,,,,318.68289999999945
2014-09-21,318.12,321.5,306.5,310.63,310.63,20702625,-0.02583597522872587,,,,,312.4866
2014-09-22,310.85,316.47,309.17,312.96,312.96,18776342,0.007472893545630892,,,,,313.7673999999996
2014-09-23,312.91,343.7,307.34,339.19,339.19,35102351,0.08048503550464291,324.8285714285715,,,,335.0335999999996
2014-09-24,339.16,339.31,327.88,331.25,331.25,23972840,-0.02368704505066339,321.29857142857145,,0.8921509720700379,,325.90219999999994
2014-09-25,331.21,331.44,321.23,322.68,322.68,21022658,-0.02621225723165836,320.4614285714286,,0.7642179876893578,,317.9558
2014-09-26,322.56,325.34,314.1,318.9,318.9,16922252,-0.011783546052761794,322.05285714285714,,0.636330340415418,,321.4556000000003
2014-09-27,318.21,320.63,313.34,315.03,315.03,11850891,-0.012209701630000262,321.52,,0.6050901241267981,,320.2531999999998
2014-09-28,314.99,316.21,295.21,297.58,297.58,18629822,-0.056984775986460394,319.6557142857142,,0.6813685562305776,,303.2510000000004
2014-09-29,297.38,303.27,293.33,295.9,295.9,25610923,-0.005661536993387334,317.2185714285714,,0.6748808339487892,,311.26849999999996
2014-09-30,296.39,309.56,294.33,306.42,306.42,27484400,0.034935150481443696,312.53714285714284,,0.43768326755145975,,308.55789999999945
2014-10-01,306.8,310.22,301.89,303.95,303.95,20782347,-0.008093495692876132,308.63714285714286,,0.4339424385542636,,304.79949999999985
2014-10-02,304.25,304.69,294.38,296.05,296.05,17189755,-0.026334855216946257,304.8328571428571,,0.43410826399561436,,298.5893999999997
2014-10-03,296.14,299.35,285.94,287.26,287.26,24691330,-0.030140629974108567,300.3128571428571,,0.4469650654644934,,289.64859999999965
2014-10-04,287.57,291.24,260.4,262.78,262.78,37743907,-0.08907054879000068,292.84857142857146,,0.6284158657383067,,279.2254000000001
2014-10-05,262.82,273.11,231.16,256.16,256.16,66582558,-0.025514930965271253,286.93142857142857,,0.5902598630236984,,265.4535999999999
2014-10-06,256.07,274.57,241.7,261.08,261.08,62494503,0.019024624518611973,281.95714285714286,,0.6348268742194823,,266.5775000000004
2014-10-07,261.48,268.82,254.43,265.51,265.51,38856342,0.016825630989104324,276.11285714285714,,0.5783265546848433,,270.0360999999997
2014-10-08,265.45,278.11,258.97,277.03,277.03,42964129,0.04247329881594158,272.26714285714286,,0.6921653137802565,,279.6960999999999
2014-10-09,276.88,301.69,272.78,287.72,287.72,65926621,0.0378619814270932,271.07714285714286,,0.7462486254623357,,284.40390000000014
2014-10-10,287.45,295.28,279.75,286.36,286.36,34583954,-0.0047380244711712,270.9485714285714,,0.7242257595067401,,279.72820000000024
2014-10-11,286.2,290.82,281.92,286.95,286.95,10569618,0.0020582240263872275,274.40142857142854,,0.38088847992991787,,284.23250000000024
2014-10-12,287.19,300.04,282.07,299.51,299.51,13887808,0.04283982142536883,280.5942857142857,,0.30757884594955165,,295.4845999999998
2014-10-13,299.01,311.92,290.88,306.93,306.93,27689780,0.024471902579217785,287.14428571428573,,0.30685208042282897,,293.4553000000001
2014-10-14,307.93,323.81,307.72,317.12,317.12,30449727,0.03266054258266495,294.51714285714286,,0.30793118646163,,312.50939999999974
2014-10-15,317.19,318.09,304.15,307.94,307.94,19709126,-0.029375292339850503,298.93285714285713,,0.42127289980507626,,302.38579999999956
2014-10-16,307.74,310.77,291.35,298.8,298.8,21080997,-0.030130505543110492,300.5157142857143,302.0903333333333,0.4625587367342993,,289.0947999999999
2014-10-17,298.96,302.17,292.82,300.82,300.82,10661362,0.006737625968404918,302.5814285714286,300.2523333333334,0.4570893621865692,0.6162222823890077,300.2156000000003
2014-10-18,300.99,309.76,297.07,306.84,306.84,8949440,0.019814359864028158,305.42285714285714,299.52899999999994,0.4613611923030941,0.5780639841196985,305.5835000000002
2014-10-19,306.7,308.8,302.94,305.62,305.62,4640334,-0.003983938913984275,306.2957142857143,299.4576666666666,0.4011759426130466,0.5463856479897315,307.0268000000002
2014-10-20,305.38,305.9,296.3,299.21,299.21,12832356,-0.02119683217541399,305.1928571428571,298.806,0.3914251665565589,0.539053323110558,303.5826
2014-10-21,298.88,308.42,297.71,304.02,304.02,11161816,0.015947820714176237,303.32142857142856,298.58566666666667,0.33512535797948834,0.5366698930713802,304.63330000000025
2014-10-22,303.74,305.48,301.24,303.11,303.11,9209161,-0.0029977127846081966,302.63142857142856,298.2573333333333,0.29261417902375975,0.5361391346968775,304.58430000000027
2014-10-23,302.95,304.65,281.91,283.36,283.36,20916199,-0.06737760189674168,300.42571428571426,296.39633333333336,0.47198767931200253,0.5114016010827861,284.1223000000002
